variable,station,lead_days,test_rows,shape,mae_raw,mae_global_bias,mae_climatology,mae_model,valid_skill,valid_gain,test_skill,kept,shipped
wave_height,Chennai,1,1775,linear,0.0386,0.0384,0.0386,0.0386,-0.0206,-0.0009,-0.004,False,False
wave_height,Chennai,2,1775,seasonal,0.0742,0.0708,0.0742,0.0674,0.0269,0.0024,0.0489,True,False
wave_height,Chennai,3,1775,seasonal,0.0756,0.0731,0.0756,0.0954,0.0356,0.0035,-0.3051,True,False
wave_height,Digha,1,1775,seasonal,0.0533,0.0576,0.0533,0.0544,0.046,0.0026,-0.0219,True,False
wave_height,Digha,2,1775,linear,0.0966,0.0994,0.0966,0.0879,0.0399,0.0036,0.0897,True,False
wave_height,Digha,3,1775,linear,0.1207,0.1236,0.1207,0.116,0.1187,0.0128,0.0387,True,False
wave_height,Kochi,1,1775,seasonal,0.0334,0.0389,0.0334,0.0569,-0.4624,-0.0138,-0.7041,False,False
wave_height,Kochi,2,1775,seasonal,0.0796,0.0837,0.0796,0.1014,-0.1742,-0.0117,-0.2739,False,False
wave_height,Kochi,3,1775,seasonal,0.0857,0.0884,0.0857,0.1243,-0.1079,-0.0086,-0.4499,False,False
wave_height,Mangaluru,1,1775,seasonal,0.0446,0.0491,0.0446,0.0484,-0.0907,-0.0026,-0.0855,False,False
wave_height,Mangaluru,2,1775,seasonal,0.1127,0.1176,0.1127,0.0893,-0.0013,-0.0001,0.2079,False,False
wave_height,Mangaluru,3,1775,linear,0.1104,0.1147,0.1104,0.0962,0.0704,0.0059,0.1289,True,False
wave_height,Paradip,1,1775,seasonal,0.0584,0.0609,0.0584,0.0632,0.0009,0.0,-0.0834,False,False
wave_height,Paradip,2,1775,seasonal,0.1053,0.1077,0.1053,0.1011,0.006,0.0005,0.0394,False,False
wave_height,Paradip,3,1775,linear,0.1216,0.1229,0.1216,0.1283,0.0634,0.0061,-0.0551,True,False
wave_height,Rameswaram,1,1775,linear,0.0545,0.058,0.0545,0.0555,0.0832,0.0043,-0.0178,True,False
wave_height,Rameswaram,2,1775,linear,0.1149,0.1197,0.1149,0.1133,-0.011,-0.0011,0.0136,False,False
wave_height,Rameswaram,3,1775,seasonal,0.1395,0.1453,0.1395,0.1277,0.1658,0.0212,0.085,True,False
wave_height,Veraval,1,1775,linear,0.0646,0.0671,0.0646,0.07,-0.04,-0.0017,-0.0841,False,False
wave_height,Veraval,2,1775,seasonal,0.1695,0.1775,0.1695,0.1875,-0.0122,-0.0008,-0.1062,False,False
wave_height,Veraval,3,1775,seasonal,0.2512,0.2599,0.2512,0.2157,0.0401,0.0027,0.1413,True,False
wave_height,Visakhapatnam,1,1775,linear,0.0464,0.0482,0.0464,0.0538,-0.0578,-0.0024,-0.1607,False,False
